player_display_name,position,team,opponent_team,passing_yards,passing_tds,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds
Kayshon Boutte,WR,NE,PIT,0,0,0,0,0,3,2,28,0
Chris Rodriguez Jr.,RB,WAS,LV,0,0,11,39,0,0,0,0,0
Xavier Hutchinson,WR,HOU,JAX,0,0,0,0,0,3,3,16,0
DeMario Douglas,WR,NE,PIT,0,0,0,0,0,5,2,7,0
Brayden Willis,TE,SF,ARI,0,0,0,0,0,0,0,0,0
Tyrell Shavers,WR,BUF,MIA,0,0,0,0,0,2,2,24,0
Chris Brooks,RB,GB,CLE,0,0,0,0,0,0,0,0,0
Emari Demercado,RB,ARI,SF,0,0,2,0,0,1,0,0,0
Blake Whiteheart,TE,CLE,GB,0,0,0,0,0,0,0,0,0
Julian Hill,TE,MIA,BUF,0,0,0,0,0,1,1,4,0
Emanuel Wilson,RB,GB,CLE,0,0,6,25,0,0,0,0,0
Ryan Miller,WR,TB,NYJ,0,0,0,0,0,1,0,0,0
Mitchell Tinsley,WR,CIN,MIN,0,0,0,0,0,1,0,0,0
Brycen Tremayne,WR,CAR,ATL,0,0,0,0,0,2,2,15,0
Jacob Saylors,RB,DET,BAL,0,0,0,0,0,0,0,0,0
Dalton Kincaid,TE,BUF,MIA,0,0,0,0,0,6,5,66,1
Brenton Strange,TE,JAX,HOU,0,0,0,0,0,7,6,61,0
Sean Tucker,RB,TB,NYJ,0,0,0,0,0,0,0,0,0
Marvin Mims Jr.,WR,DEN,LAC,0,0,0,0,0,4,1,4,0
Cedric Tillman,WR,CLE,GB,0,0,0,0,0,3,3,26,0
Tucker Kraft,TE,GB,CLE,0,0,0,0,0,4,3,29,0
Josh Downs,WR,IND,TEN,0,0,0,0,0,3,2,34,0
Roschon Johnson,RB,CHI,DAL,0,0,0,0,0,0,0,0,0
De'Von Achane,RB,MIA,BUF,0,0,12,62,0,9,7,29,0
Elijah Higgins,TE,ARI,SF,0,0,0,0,0,1,1,7,0
Zay Flowers,WR,BAL,DET,0,0,0,0,0,3,2,13,0
Sam LaPorta,TE,DET,BAL,0,0,0,0,0,4,4,33,0
